Movie_name,Movie_release_date
The Song of Bernadette,1943
Going My Way,1944
The Lost Weekend,1945
The Best Years of Our Lives,1946
Gentleman's Agreement,1947
Johnny Belinda,1948
The Treasure of the Sierra Madre,1948
All the King's Men,1949
Come to the Stable,1949
Sunset Boulevard,1950
All About Eve,1950
Born Yesterday,1950
Cyrano de Bergerac,1950
Harvey,1950
A Place in the Sun,1951
Bright Victory,1951
Detective Story,1951
Quo Vadis,1951
A Streetcar Named Desire,1951
The Greatest Show on Earth,1952
"Come Back, Little Sheba",1952
The Happy Time,1952
High Noon,1952
The Thief,1952
The Robe,1953
On the Waterfront,1954
East of Eden,1955
Around the World in 80 Days,1956
Giant,1956
Lust for Life,1956
The Rainmaker,1956
War and Peace,1956
The Bridge on the River Kwai,1957
12 Angry Men,1957
Sayonara,1957
Wild Is the Wind,1957
Witness for the Prosecution,1957
The Defiant Ones,1958
Cat on a Hot Tin Roof,1958
Home Before Dark,1958
I Want to Live!,1958
Separate Tables,1958
Ben-Hur,1959
Anatomy of a Murder,1959
The Diary of Anne Frank,1959
The Nun's Story,1959
On the Beach,1959
Spartacus,1960
Elmer Gantry,1960
Inherit the Wind,1960
Sons and Lovers,1960
Sunrise at Campobello,1960
The Guns of Navarone,1961
El Cid,1961
Fanny,1961
Judgment at Nuremberg,1961
Splendor in the Grass,1961
Lawrence of Arabia,1962
The Chapman Report,1962
Days of Wine and Roses,1962
Freud: The Secret Passion,1962
Hemingway's Adventures of a Young Man,1962
Lisa,1962
The Longest Day,1962
The Miracle Worker,1962
Mutiny on the Bounty,1962
To Kill a Mockingbird,1962
The Cardinal,1963
America America,1963
"Captain Newman, M.D.",1963
The Caretakers,1963
Cleopatra,1963
The Great Escape,1963
Hud,1963
Lilies of the Field,1963
Becket,1964
The Chalk Garden,1964
Dear Heart,1964
The Night of the Iguana,1964
Zorba the Greek,1964
Doctor Zhivago,1965
The Collector,1965
The Flight of the Phoenix,1965
A Patch of Blue,1965
Ship of Fools,1965
A Man for All Seasons,1966
Born Free,1966
The Professionals,1966
The Sand Pebbles,1966
Who's Afraid of Virginia Woolf?,1966
In the Heat of the Night,1967
Bonnie and Clyde,1967
Far from the Madding Crowd,1967
Guess Who's Coming to Dinner,1967
In Cold Blood,1967
The Lion in Winter,1968
CHAЯLY,1968
The Fixer,1968
The Heart Is a Lonely Hunter,1968
The Shoes of the Fisherman,1968
Anne of the Thousand Days,1969
Butch Cassidy and the Sundance Kid,1969
Midnight Cowboy,1969
The Prime of Miss Jean Brodie,1969
"They Shoot Horses, Don't They?",1969
Love Story,1970
Airport,1970
Five Easy Pieces,1970
I Never Sang for My Father,1970
Patton,1970
The French Connection,1971
A Clockwork Orange,1971
The Last Picture Show,1971
"Mary, Queen of Scots",1971
Summer of ‘42,1971
The Godfather,1972
Deliverance,1972
Frenzy,1972
The Poseidon Adventure,1972
Sleuth,1972
The Exorcist,1973
Cinderella Liberty,1973
The Day of the Jackal,1973
Last Tango in Paris,1973
Save the Tiger,1973
Serpico,1973
Chinatown,1974
The Conversation,1974
Earthquake,1974
The Godfather Part II,1974
A Woman Under the Influence,1974
One Flew Over the Cuckoo's Nest,1975
Barry Lyndon,1975
Dog Day Afternoon,1975
Jaws,1975
Nashville,1975
Rocky,1976
All the President's Men,1976
Bound for Glory,1976
Network,1976
Voyage of the Damned,1976
The Turning Point,1977
Close Encounters of the Third Kind,1977
I Never Promised You a Rose Garden,1977
Julia,1977
Star Wars,1977
Midnight Express,1978
Coming Home,1978
Days of Heaven,1978
The Deer Hunter,1978
An Unmarried Woman,1978
Kramer vs. Kramer,1979
Apocalypse Now,1979
The China Syndrome,1979
Manhattan,1979
Norma Rae,1979
Ordinary People,1980
The Elephant Man,1980
The Ninth Configuration,1980
Raging Bull,1980
The Stunt Man,1980
On Golden Pond,1981
The French Lieutenant's Woman,1981
Prince of the City,1981
Ragtime,1981
Reds,1981
E.T. the Extra-Terrestrial,1982
Missing,1982
An Officer and a Gentleman,1982
Sophie's Choice,1982
The Verdict,1982
Terms of Endearment,1983
"Reuben, Reuben",1983
The Right Stuff,1983
Silkwood,1983
Tender Mercies,1983
Amadeus,1984
The Cotton Club,1984
The Killing Fields,1984
Places in the Heart,1984
A Soldier's Story,1984
Out of Africa,1985
The Color Purple,1985
Kiss of the Spider Woman,1985
Runaway Train,1985
Witness,1985
Platoon,1986
Children of a Lesser God,1986
The Mission,1986
Mona Lisa,1986
A Room with a View,1986
Stand by Me,1986
The Last Emperor,1987
Cry Freedom,1987
Empire of the Sun,1987
Fatal Attraction,1987
La Bamba,1987
Nuts,1987
Rain Man,1988
The Accidental Tourist,1988
A Cry in the Dark,1988
Gorillas in the Mist,1988
Mississippi Burning,1988
Running on Empty,1988
The Unbearable Lightness of Being,1988
Born on the Fourth of July,1989
Crimes and Misdemeanors,1989
Dead Poets Society,1989
Do the Right Thing,1989
Glory,1989
Dances with Wolves,1990
Avalon,1990
The Godfather Part III,1990
Goodfellas,1990
Reversal of Fortune,1990
Bugsy,1991
JFK,1991
The Prince of Tides,1991
The Silence of the Lambs,1991
Thelma & Louise,1991
Scent of a Woman,1992
The Crying Game,1992
A Few Good Men,1992
Howards End,1992
Unforgiven,1992
Schindler's List,1993
The Age of Innocence,1993
In the Name of the Father,1993
The Piano,1993
The Remains of the Day,1993
Forrest Gump,1994
Legends of the Fall,1994
Nell,1994
Pulp Fiction,1994
Quiz Show,1994
Sense and Sensibility,1995
Apollo 13,1995
Braveheart,1995
The Bridges of Madison County,1995
Leaving Las Vegas,1995
The English Patient,1996
Breaking the Waves,1996
The People vs. Larry Flynt,1996
Secrets & Lies,1996
Shine,1996
Titanic,1997
Amistad,1997
The Boxer,1997
Good Will Hunting,1997
L.A. Confidential,1997
Saving Private Ryan,1998
Elizabeth,1998
Gods and Monsters,1998
The Horse Whisperer,1998
The Truman Show,1998
American Beauty,1999
The End of the Affair,1999
The Hurricane,1999
The Insider,1999
The Talented Mr. Ripley,1999
Gladiator,2000
Billy Elliot,2000
Erin Brockovich,2000
Sunshine,2000
Traffic,2000
Wonder Boys,2000
A Beautiful Mind,2001
In the Bedroom,2001
The Lord of the Rings: The Fellowship of the Ring,2001
The Man Who Wasn't There,2001
Mulholland Drive,2001
The Hours,2002
About Schmidt,2002
Gangs of New York,2002
The Lord of the Rings: The Two Towers,2002
The Pianist,2002
The Lord of the Rings: The Return of the King,2003
Cold Mountain,2003
Master and Commander: The Far Side of the World,2003
Mystic River,2003
Seabiscuit,2003
The Aviator,2004
Closer,2004
Finding Neverland,2004
Hotel Rwanda,2004
Kinsey,2004
Million Dollar Baby,2004
Brokeback Mountain,2005
The Constant Gardener,2005
"Good Night, and Good Luck",2005
A History of Violence,2005
Match Point,2005
Babel,2006
Bobby,2006
The Departed,2006
Little Children,2006
The Queen,2006
Atonement,2007
American Gangster,2007
Eastern Promises,2007
The Great Debaters,2007
Michael Clayton,2007
No Country for Old Men,2007
There Will Be Blood,2007
Slumdog Millionaire,2008
The Curious Case of Benjamin Button,2008
Frost/Nixon,2008
The Reader,2008
Revolutionary Road,2008
Avatar,2009
The Hurt Locker,2009
Inglourious Basterds,2009
Precious,2009
Up in the Air,2009
The Social Network,2010
Black Swan,2010
The Fighter,2010
Inception,2010
The King's Speech,2010
The Descendants,2011
The Help,2011
Hugo,2011
The Ides of March,2011
Moneyball,2011
War Horse,2011
Argo,2012
Django Unchained,2012
Life of Pi,2012
Lincoln,2012
Zero Dark Thirty,2012
12 Years a Slave,2013
Captain Phillips,2013
Gravity,2013
Philomena,2013
Rush,2013
Boyhood,2014
Foxcatcher,2014
The Imitation Game,2014
Selma,2014
The Theory of Everything,2014
The Revenant,2015
Carol,2015
Mad Max: Fury Road,2015
Room,2015
Spotlight,2015
Moonlight,2016
Hacksaw Ridge,2016
Hell or High Water,2016
Lion,2016
Manchester by the Sea,2016
"Three Billboards Outside Ebbing, Missouri",2017
Call Me by Your Name,2017
Dunkirk,2017
The Post,2017
The Shape of Water,2017
Bohemian Rhapsody,2018
Black Panther,2018
BlacKkKlansman,2018
If Beale Street Could Talk,2018
A Star Is Born,2018
1917,2019
The Irishman,2019
Joker,2019
Marriage Story,2019
The Two Popes,2019
