Wikipedia_movie_ID,Actor_ethnicity
975900,African Americans
975900,African Americans
975900,Omaha people
3196793,African Americans
2314463,Jewish people
2314463,Irish Americans
2314463,Indian Americans
18768079,Jewish people
612710,Italians
612710,German Americans
156558,African Americans
156558,African Americans
156558,African Americans
156558,African Americans
156558,African Americans
156558,African Americans
156558,African Americans
156558,African Americans
156558,African Americans
156558,African Americans
156558,African Americans
156558,African Americans
9633533,Indian
9633533,Indian
9633533,Ezhava
9633533,Indian
9633533,Indian
9633533,Malayali
24029843,Taiwanese
27611999,Armenians
29528534,Indian
29528534,Marathi people
29528534,Indian
29528534,Indian
29528534,Indian
29528534,Indian
29528534,Marathi people
26623942,Malayali
4951456,Lithuanian American
4951456,Irish Americans
4951456,African Americans
36009421,Indian
6800756,Jewish people
12053509,Irish Americans
12053509,Italian Americans
12053509,Jewish people
4340003,Irish Americans
1369204,Jewish people
7447003,Danish Americans
7447003,American Jews
7447003,Scottish Americans
2647998,African Americans
167857,Puerto Ricans
167857,Jewish people
167857,Italian Americans
167857,English people
167857,Italian Americans
167857,Irish people
4926447,Russian Americans
20713032,English Americans
20713032,Gujarati people
20713032,Indian
20713032,Spanish Americans
20713032,Bihari people
20713032,Indian
24761154,Indian
24761154,Indian
31156641,Nair
8995918,Italian Americans
21209475,Jewish people
21209475,Cuban Americans
21209475,Irish Americans
29832307,Italians
29832307,Italians
5894429,English Americans
5894429,English people
5894429,Irish people
27556929,African Americans
27556929,English people
27556929,African Americans
27556929,Russians
27556929,English people
27556929,English people
27556929,Yoruba people
24196090,Japanese people
8669450,Jewish people
9380065,Filipino Americans
9380065,African Americans
164387,Italian Americans
164387,Jewish people
164387,Italian Americans
164387,Swedish Americans
164387,Finnish Americans
164387,Jewish people
24282217,Koreans
13944412,French
13944412,French
24863901,Welsh people
24863901,African Americans
24863901,White Americans
24863901,Indian Americans
24863901,Bengali
24863901,Uruguayans
24863901,Iranian peoples
24863901,Indian Americans
10792038,Marathi people
30002176,Mexicans
164388,Dutch Americans
164388,Irish Americans
164388,African Americans
22985953,Hungarian Americans
7707787,Spaniards
11717027,Jewish people
10628777,Indian
10628777,Marathi people
1072373,Indian
1072373,Indian
1072373,Bengali
1072373,Bunt
1072373,Indian
1072373,Indian
26728732,Jewish people
21878654,German Americans
21878654,Irish Americans
26615659,Indian
26615659,Indian
26615659,Marathi people
26615659,Indian
26615659,Indian
26615659,Indian
7575175,Spanish Americans
7575175,English people
196176,Jewish people
