Movie_name,Movie_release_date,Ratings,Wikipedia_movie_ID,Actor_ethnicity,Movie_countries,Nomination
$,1971,6.3,4213160.0,Hungarian Americans,{'United States of America'},False
$9.99,2008,6.7,20624798.0,Australians,"{'Israel', 'Australia'}",False
'R Xmas,2001,5.7,24799628.0,Italian Americans,"{'United States of America', 'France'}",False
'Til There Was You,1997,4.8,17841580.0,Irish Americans,{'United States of America'},False
'Til We Meet Again,1940,6.7,16038391.0,Irish Americans,{'United States of America'},False
"'night, Mother",1986,7.6,8098268.0,Czech Americans,{'United States of America'},False
(Untitled),2009,6.3,24204980.0,Jewish people,{'United States of America'},False
*batteries not included,1987,6.6,3762449.0,African Americans,{'United States of America'},False
...ing,2003,7.2,2211244.0,Koreans,{'South Korea'},False
.45,2006,5.5,4441267.0,American Jews,{'United States of America'},False
1 a Minute,2010,6.3,24863901.0,Welsh people,{'United States of America'},False
10,1979,6.1,832232.0,English people,{'United States of America'},True
10 Items or Less,2006,6.5,8167617.0,Spaniards,{'United States of America'},False
10 Rillington Place,1971,7.5,19101343.0,English people,{'United Kingdom'},False
10 Things I Hate About You,1999,7.3,398934.0,Ashkenazi Jews,{'United States of America'},False
10 to Midnight,1983,6.3,14979283.0,Lithuanian American,{'United States of America'},False
"10,000 BC",2008,5.1,4223800.0,Chinese Jamaicans,"{'United States of America', 'South Africa', 'New Zealand'}",False
100 Days,1991,6.3,8422241.0,Bengali,{'India'},False
100 Feet,2008,5.4,12138219.0,Dutch Americans,{'United States of America'},False
100 Films and a Funeral,2007,7.1,24223282.0,English Americans,{'Canada'},False
100 Mile Rule,2002,5.6,22470177.0,English people,{'United States of America'},False
100 Rifles,1969,6.0,1843039.0,African Americans,{'United States of America'},False
"100,000 Pounds",1948,5.9,25261675.0,names of the Greeks,{'Greece'},False
101 Dalmatians,1996,5.7,179326.0,White Americans,{'United States of America'},False
102 Dalmatians,2000,4.8,1682418.0,White Americans,"{'United States of America', 'United Kingdom', 'France'}",True
10:10,2008,8.3,20460767.0,Indian,{'India'},False
10:30 P.M. Summer,1966,6.4,16731304.0,names of the Greeks,"{'United States of America', 'Spain'}",False
10th & Wolf,2006,6.3,3555951.0,Italians,{'United States of America'},False
11 Harrowhouse,1974,6.2,5083097.0,Jewish people,{'United Kingdom'},False
11:14,2003,7.1,2763171.0,Jewish people,"{'United States of America', 'Canada'}",False
12 Angry Men,1957,9.0,92605.0,Jewish people,{'United States of America'},True
12 Rounds,2009,5.6,15169291.0,Irish people,{'United States of America'},False
123,2002,5.8,9483286.0,Indian,{'India'},False
127 Hours,2010,7.5,25244870.0,American Jews,"{'United States of America', 'United Kingdom'}",True
13,2010,6.0,21798180.0,Irish Americans,{'United States of America'},False
13 Assassins,2010,7.5,26865950.0,Japanese people,"{'United Kingdom', 'Japan'}",False
13 Going on 30,2004,6.3,607444.0,Italian Americans,{'United States of America'},False
13 Moons,2002,5.6,2026601.0,Swedish Americans,{'United States of America'},False
13 Rue Madeleine,1947,6.9,15357779.0,Irish Americans,{'United States of America'},False
13th Child,2002,2.9,17151887.0,African Americans,{'United States of America'},False
14 Blades,2010,6.3,25936686.0,Hongkongers,"{'China', 'Hong Kong'}",False
1408,2007,6.8,4639222.0,Irish Americans,{'United States of America'},False
15 Maiden Lane,1936,6.5,9084534.0,Irish people,{'United States of America'},False
